item,calories,fat_g,carb_g,fiber_g,protein_g
Frappuccino Cookie Straw,90,3,14,0,1
French Toast - Bantam Bagels (2 Pack),200,8,30,0,6
Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2,14
Garden Greens & Shaved Parmesan Side Salad,170,13,9,2,7
Gluten-Free Marshmallow Dream Bar,240,5,45,0,2
Green Goddess Avocado Salad,620,37,62,10,13
Ham & Cheese Croissant,320,17,28,1,14
Hearty Blueberry Oatmeal,220,2.5,43,5,5
Herbed Chicken & Fig Spread Small Sandwich,300,8,43,2,19
Homestyle Chicken & Double-Smoked Bacon,480,17,57,3,23
Honey BBQ Sriracha Chicken Sandwich,360,7,52,3,22
Hot Chocolate (Without Whipped Cream),130,1.5,70,1,7
Hot Chocolate (Without Whipped Cream),130,3.5,60,2,6
Hot Chocolate (Without Whipped Cream),150,4.5,80,1,7
Hot Chocolate (Without Whipped Cream),190,2,110,1,11
Hot Chocolate (Without Whipped Cream),200,6,95,2,9
Hot Chocolate (Without Whipped Cream),230,7,120,1,10
Hot Chocolate (Without Whipped Cream),240,2.5,140,2,14
Hot Chocolate (Without Whipped Cream),250,7,125,3,12
Hot Chocolate (Without Whipped Cream),290,9,160,2,14
Hot Chocolate (Without Whipped Cream),320,3,180,2,18
Hot Chocolate (Without Whipped Cream),330,9,160,4,15
Hot Chocolate (Without Whipped Cream),380,11,200,2,17
Ice Cream Cone Sugar Cookie,250,14,29,1,3
Iced Brewed Coffee (With Classic Syrup),60,0,4,0,0.2
Iced Brewed Coffee (With Classic Syrup),90,0.1,5,0,0.3
Iced Brewed Coffee (With Classic Syrup),130,0.1,5,0,0.4
Iced Brewed Coffee (With Milk & Classic Syrup),80,0.1,25,0,2
Iced Brewed Coffee (With Milk & Classic Syrup),80,1,20,0,2
Iced Brewed Coffee (With Milk & Classic Syrup),90,1,25,0,2
Iced Brewed Coffee (With Milk & Classic Syrup),110,0.1,30,0,2
Iced Brewed Coffee (With Milk & Classic Syrup),110,1,30,0,2
Iced Brewed Coffee (With Milk & Classic Syrup),120,1.5,35,0,2
Iced Brewed Coffee (With Milk & Classic Syrup),160,0.1,50,0,4
Iced Brewed Coffee (With Milk & Classic Syrup),170,1.5,45,0,3
Iced Brewed Coffee (With Milk & Classic Syrup),180,2,55,0,4
Iced Lemon Pound Cake,470,20,68,1,6
Italian-Style Ham & Spicy Salami,480,20,49,3,22
Java Chip,150,3,170,1,4
Java Chip,220,4,240,2,5
Java Chip,290,5,320,2,7
Java Chip (Without Whipped Cream),220,3,170,1,4
Java Chip (Without Whipped Cream),220,4,170,1,3
Java Chip (Without Whipped Cream),240,5,170,1,4
Java Chip (Without Whipped Cream),310,4,250,2,5
Java Chip (Without Whipped Cream),310,6,240,2,4
Java Chip (Without Whipped Cream),340,7,250,2,5
Java Chip (Without Whipped Cream),420,5,340,2,7
Java Chip (Without Whipped Cream),430,8,330,3,6
Java Chip (Without Whipped Cream),460,10,340,2,7
Justin's Chocolate Hazelnut Butter,180,14,12,3,4
Justin's Classic Almond Butter,190,18,6,3,7
Lemon Chiffon Yogurt,340,13,38,0,18
Lentils & Vegetable Protein Bowl with Brown Rice,650,29,80,21,23
Michigan Cherry Oat Bar,310,10,47,2,3
Mocha,110,0.5,150,1,3
Mocha,150,1,200,1,4
Mocha,210,1,280,1,6
Mocha (Without Whipped Cream),180,0.5,150,1,3
Mocha (Without Whipped Cream),180,2,150,1,3
Mocha (Without Whipped Cream),200,3,160,1,3
Mocha (Without Whipped Cream),260,1,220,1,4
Mocha (Without Whipped Cream),260,2.5,220,1,4
Mocha (Without Whipped Cream),290,4,220,1,4
Mocha (Without Whipped Cream),340,1,300,1,7
Mocha (Without Whipped Cream),350,3,290,2,6
Mocha (Without Whipped Cream),390,6,300,1,6
Multigrain Bagel,350,4,64,8,17
Oatmeal Cookie,290,12,40,3,5
Octopus Cookie,330,18,39,1,3
Old-Fashioned Glazed Doughnut,480,27,56,1,5
Orange Mango Banana Smoothie,260,1,120,6,16
Orange Mango Banana Smoothie,270,1.5,120,6,15
Orange Mango Banana Smoothie,270,1.5,125,6,16
Organic Avocado (Spread),90,8,5,4,1
PB&J Protein Box,520,26,53,5,20
Peanut butter cup cookie,360,21,36,3,8
Pecan Tart,330,18,39,1,4
Petite Vanilla Bean Scone,120,4.5,18,0,2
Pirate Cake Pop,180,9,24,0,1
Plain Bagel,280,1.5,56,2,9
Pumpkin Bread,410,15,63,2,6
Raspberry Swirl Loaf Cake,420,17,61,1,6
