category,item,calories,fat_g,carb_g,fiber_g,protein_g,sugars_g,retailer
Cold Brew Coffee,"Cold Brew Coffee, Small",5,0,0,0,0,0,Dunkin Donuts
Cold Brew Coffee,"Nitro Cold Brew Coffee, Medium",5,0,0,0,1,0,Dunkin Donuts
Cold Brew Coffee,"Nitro Cold Brew Coffee, Small",5,0,0,0,0,0,Dunkin Donuts
Coolatta,"Blue Raspberry Coolatta, Large",460,0,112,0,0,110,Dunkin Donuts
Coolatta,"Blue Raspberry Coolatta, Medium",350,0,84,0,0,83,Dunkin Donuts
Coolatta,"Blue Raspberry Coolatta, Small",230,0,56,0,0,55,Dunkin Donuts
Coolatta,"Pineapple Coolatta, Large",460,0,113,0,0,107,Dunkin Donuts
Coolatta,"Pineapple Coolatta, Medium",340,0,85,0,0,80,Dunkin Donuts
Coolatta,"Pineapple Coolatta, Small",230,0,56,0,0,53,Dunkin Donuts
Coolatta,"Vanilla Bean Coolatta, Large",790,6,172,0,10,167,Dunkin Donuts
Coolatta,"Vanilla Bean Coolatta, Medium",590,4.5,129,0,7,125,Dunkin Donuts
Coolatta,"Vanilla Bean Coolatta, Small",390,3,86,0,5,83,Dunkin Donuts
Dunkin Refreshers,"Butter Pecan Swirl Frozen Chocolate, Large",900,17,175,1,12,162,Dunkin Donuts
Dunkin Refreshers,"Butter Pecan Swirl Frozen Chocolate, Medium",700,14,134,1,9,124,Dunkin Donuts
Dunkin Refreshers,"Butter Pecan Swirl Frozen Chocolate, Small",500,11,95,1,6,87,Dunkin Donuts
Dunkin Refreshers,"Peach Passion Fruit Dunkin Refreshers, Large",180,0,43,0,1,39,Dunkin Donuts
Dunkin Refreshers,"Peach Passion Fruit Dunkin Refreshers, Medium",130,0,32,0,1,29,Dunkin Donuts
Dunkin Refreshers,"Peach Passion Fruit Dunkin Refreshers, Small",90,0,21,0,0,20,Dunkin Donuts
Dunkin Refreshers,"Strawberry Dragonfruit Dunkin Refreshers, Large",170,0,39,0,1,37,Dunkin Donuts
Dunkin Refreshers,"Strawberry Dragonfruit Dunkin Refreshers, Medium",130,0,29,0,1,27,Dunkin Donuts
Dunkin Refreshers,"Strawberry Dragonfruit Dunkin Refreshers, Small",80,0,19,0,0,18,Dunkin Donuts
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),180,0.1,160,0,3,41,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),180,1.5,150,0,2,39,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),200,2.5,160,0,3,41,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),260,1.5,220,0,3,56,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),280,0.1,220,0,4,59,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),280,3.5,220,0,3,59,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),330,0.1,290,0,5,77,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),340,2.5,290,1,5,73,Starbucks
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),370,5,300,0,5,77,Starbucks
Frappuccino Blended Coffee,Coffee,160,0.1,160,0,3,36,Starbucks
Frappuccino Blended Coffee,Coffee,160,1.5,150,0,2,34,Starbucks
Frappuccino Blended Coffee,Coffee,180,2.5,160,0,3,36,Starbucks
Frappuccino Blended Coffee,Coffee,220,0.1,210,0,4,50,Starbucks
Frappuccino Blended Coffee,Coffee,220,1.5,210,0,3,47,Starbucks
Frappuccino Blended Coffee,Coffee,240,3,220,0,3,50,Starbucks
Frappuccino Blended Coffee,Coffee,310,0.1,300,0,6,69,Starbucks
Frappuccino Blended Coffee,Coffee,310,2.5,300,1,5,66,Starbucks
Frappuccino Blended Coffee,Coffee,350,5,300,0,5,69,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),220,3,170,1,4,44,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),220,4,170,1,3,42,Starbucks
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),240,5,170,1,4,44,Starbucks
