category,item,calories,fat_g,carb_g,fiber_g,protein_g,sugars_g,retailer
Hot Chocolate,"OREO Hot Chocolate, Small",230,5,44,1,3,35,Dunkin Donuts
Hot Chocolate,"Original Hot Chocolate, Extra Large",500,15,89,3,4,71,Dunkin Donuts
Hot Chocolate,"Original Hot Chocolate, Large",460,14,82,3,4,65,Dunkin Donuts
Hot Chocolate,"Original Hot Chocolate, Medium",330,10,59,2,3,46,Dunkin Donuts
Hot Chocolate,"Original Hot Chocolate, Small",220,7,40,2,2,32,Dunkin Donuts
Hot Chocolate,"Salted Caramel Hot Chocolate, Extra Large",510,17,87,2,5,69,Dunkin Donuts
Hot Chocolate,"Salted Caramel Hot Chocolate, Large",420,14,71,2,4,57,Dunkin Donuts
Hot Chocolate,"Salted Caramel Hot Chocolate, Medium",310,10,52,1,3,42,Dunkin Donuts
Hot Chocolate,"Salted Caramel Hot Chocolate, Small",210,7,36,1,2,29,Dunkin Donuts
Hot Coffee,Box of Joe,5,0,0,0,0,0,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Extra Large",270,0,63,0,5,60,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Large",220,0,50,0,4,48,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Medium",170,0,38,0,3,36,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Small",110,0,25,0,2,24,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Cream, Extra Large",420,15,65,0,7,62,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Cream, Large",330,12,52,0,5,50,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Cream, Medium",250,9,39,0,4,37,Dunkin Donuts
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Cream, Small",170,6,26,0,3,25,Dunkin Donuts
Hot Coffee,"Cafe Au Lait with Skim Milk, Large",90,0,12,0,9,12,Dunkin Donuts
Hot Coffee,"Cafe Au Lait with Skim Milk, Medium",70,0,9,0,7,9,Dunkin Donuts
Hot Coffee,"Cafe Au Lait with Skim Milk, Small",45,0,6,0,4,6,Dunkin Donuts
Hot Coffee,"Cafe Au Lait with Whole Milk, Large",150,8,12,0,8,12,Dunkin Donuts
Hot Coffee,"Cafe Au Lait with Whole Milk, Medium",110,6,9,0,6,9,Dunkin Donuts
Hot Coffee,"Cafe Au Lait with Whole Milk, Small",80,4,6,0,4,6,Dunkin Donuts
Hot Coffee,"Cafe con Leche, Large",340,12,47,0,12,46,Dunkin Donuts
Hot Coffee,"Cafe con Leche, Medium",250,9,35,0,9,34,Dunkin Donuts
Hot Coffee,"Cafe con Leche, Small",170,6,23,0,6,23,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Extra Large",280,0,64,0,4,64,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Large",230,0,52,0,3,51,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Medium",170,0,39,0,3,38,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Small",110,0,26,0,2,26,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Extra Large",420,15,67,0,6,66,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Large",340,12,53,0,5,53,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Medium",260,9,40,0,4,40,Dunkin Donuts
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Small",170,6,27,0,3,26,Dunkin Donuts
Hot Coffee,Cortadito,80,1,16,0,1,16,Dunkin Donuts
Hot Coffee,Espresso with Sugar,60,0,15,0,0,14,Dunkin Donuts
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Extra Large",420,15,66,0,6,63,Dunkin Donuts
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Large",340,12,53,0,5,50,Dunkin Donuts
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Medium",250,9,40,0,4,38,Dunkin Donuts
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Small",170,6,26,0,2,25,Dunkin Donuts
Hot Coffee,"French Vanilla Swirl Hot Coffee, Large",220,0,51,0,3,49,Dunkin Donuts
Hot Coffee,"French Vanilla Swirl Hot Coffee, Medium",170,0,38,0,2,37,Dunkin Donuts
Hot Coffee,"French Vanilla Swirl Hot Coffee, Small",110,0,26,0,2,24,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Extra Large",420,15,66,0,6,63,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Large",340,12,53,0,5,50,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Medium",250,9,40,0,4,38,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Small",170,6,27,0,2,25,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee, Extra Large",280,0,64,0,4,61,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee, Large",220,0,51,0,3,49,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee, Medium",170,0,38,0,2,37,Dunkin Donuts
Hot Coffee,"Hazelnut Swirl Hot Coffee, Small",110,0,26,0,2,24,Dunkin Donuts
Hot Coffee,"Hot Coffee with Almond Milk, Extra Large",45,1.5,7,0,1,7,Dunkin Donuts
Hot Coffee,"Hot Coffee with Almond Milk, Large",35,1,5,0,1,5,Dunkin Donuts
Hot Coffee,"Hot Coffee with Almond Milk, Medium",25,0.5,4,0,1,3,Dunkin Donuts
Hot Coffee,"Hot Coffee with Almond Milk, Small",15,0,2,0,0,2,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream and Sugar, Extra Large",320,15,46,0,3,46,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream and Sugar, Large",250,12,37,0,2,36,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream and Sugar, Medium",190,9,27,0,2,27,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream and Sugar, Small",130,6,18,0,1,18,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream, Extra Large",150,15,2,0,3,2,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream, Large",120,12,2,0,2,2,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream, Medium",90,9,1,0,2,1,Dunkin Donuts
Hot Coffee,"Hot Coffee with Cream, Small",60,6,1,0,1,1,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Extra Large",200,0,47,0,3,47,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Large",160,0,38,0,3,38,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Medium",120,0,28,0,2,28,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Small",80,0,19,0,1,19,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk, Extra Large",30,0,4,0,3,4,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk, Large",25,0,3,0,3,3,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk, Medium",20,0,2,0,2,2,Dunkin Donuts
Hot Coffee,"Hot Coffee with Skim Milk, Small",15,0,2,0,1,2,Dunkin Donuts
Hot Coffee,"Hot Coffee with Sugar, Extra Large",170,0,44,0,1,43,Dunkin Donuts
Hot Coffee,"Hot Coffee with Sugar, Large",140,0,35,0,1,35,Dunkin Donuts
Hot Coffee,"Hot Coffee with Sugar, Medium",110,0,26,0,1,26,Dunkin Donuts
Hot Coffee,"Hot Coffee with Sugar, Small",70,0,17,0,0,17,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Extra Large",220,2.5,47,0,3,47,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Large",190,2,42,0,2,42,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Medium",130,1.5,28,0,2,28,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Small",90,1,19,0,1,19,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk, Extra Large",50,2.5,4,0,3,4,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk, Large",40,2,3,0,2,3,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk, Medium",30,1.5,2,0,2,2,Dunkin Donuts
Hot Coffee,"Hot Coffee with Whole Milk, Small",20,1,1,0,1,1,Dunkin Donuts
Hot Coffee,"Hot Coffee, Extra Large",5,0,0,0,1,0,Dunkin Donuts
Hot Coffee,"Hot Coffee, Large",5,0,0,0,1,0,Dunkin Donuts
Hot Coffee,"Hot Coffee, Medium",5,0,0,0,1,0,Dunkin Donuts
Hot Coffee,"Hot Coffee, Small",5,0,0,0,0,0,Dunkin Donuts
Hot Coffee,Hot Espresso,5,0,1,0,0,0,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Extra Large",410,15,65,3,5,59,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Large",330,12,52,2,4,47,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Medium",240,9,39,2,3,35,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Small",160,6,26,1,2,24,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee, Extra Large",260,1,63,3,3,57,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee, Large",210,1,50,2,2,46,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee, Medium",160,0.5,38,2,2,34,Dunkin Donuts
Hot Coffee,"Mocha Swirl Hot Coffee, Small",110,0,25,1,1,23,Dunkin Donuts
Hot Latte,"Butter Pecan Swirl Hot Latte with Skim Milk, Large",350,0.5,70,0,16,66,Dunkin Donuts
Hot Latte,"Butter Pecan Swirl Hot Latte with Skim Milk, Medium",260,0,52,0,12,50,Dunkin Donuts
Hot Latte,"Butter Pecan Swirl Hot Latte with Skim Milk, Small",170,0,35,0,8,33,Dunkin Donuts
Hot Latte,"Butter Pecan Swirl Hot Latte with Whole Milk, Large",450,12,69,0,15,66,Dunkin Donuts
Hot Latte,"Butter Pecan Swirl Hot Latte with Whole Milk, Medium",330,9,52,0,11,49,Dunkin Donuts
Hot Latte,"Butter Pecan Swirl Hot Latte with Whole Milk, Small",220,6,35,0,7,33,Dunkin Donuts
Hot Latte,"Caramel Craze Signature Hot Latte with Skim Milk, Large",440,6,80,0,16,75,Dunkin Donuts
Hot Latte,"Caramel Craze Signature Hot Latte with Skim Milk, Medium",340,5,61,0,12,57,Dunkin Donuts
Hot Latte,"Caramel Craze Signature Hot Latte with Skim Milk, Small",250,5,43,0,8,40,Dunkin Donuts
Hot Latte,"Caramel Craze Signature Hot Latte with Whole Milk, Large",530,17,79,0,15,74,Dunkin Donuts
Hot Latte,"Caramel Craze Signature Hot Latte with Whole Milk, Medium",410,14,61,0,11,57,Dunkin Donuts
Hot Latte,"Caramel Craze Signature Hot Latte with Whole Milk, Small",300,11,43,0,8,39,Dunkin Donuts
Hot Latte,"Caramel Swirl Hot Latte with Skim Milk, Large",350,0,71,0,15,69,Dunkin Donuts
Hot Latte,"Caramel Swirl Hot Latte with Skim Milk, Medium",260,0,53,0,11,52,Dunkin Donuts
Hot Latte,"Caramel Swirl Hot Latte with Skim Milk, Small",180,0,36,0,8,35,Dunkin Donuts
Hot Latte,"Caramel Swirl Hot Latte with Whole Milk, Large",450,12,70,0,14,69,Dunkin Donuts
Hot Latte,"Caramel Swirl Hot Latte with Whole Milk, Medium",340,9,53,0,11,52,Dunkin Donuts
Hot Latte,"Caramel Swirl Hot Latte with Whole Milk, Small",230,6,35,0,7,34,Dunkin Donuts
Hot Latte,"Cocoa Mocha Signature Hot Latte with Skim Milk, Large",420,6,79,2,15,69,Dunkin Donuts
Hot Latte,"Cocoa Mocha Signature Hot Latte with Skim Milk, Medium",330,6,61,2,11,53,Dunkin Donuts
Hot Latte,"Cocoa Mocha Signature Hot Latte with Skim Milk, Small",250,5,43,1,8,37,Dunkin Donuts
Hot Latte,"Cocoa Mocha Signature Hot Latte with Whole Milk, Large",520,18,78,2,14,68,Dunkin Donuts
Hot Latte,"Cocoa Mocha Signature Hot Latte with Whole Milk, Medium",400,14,60,2,10,52,Dunkin Donuts
Hot Latte,"Cocoa Mocha Signature Hot Latte with Whole Milk, Small",300,11,43,1,7,36,Dunkin Donuts
Hot Latte,"French Vanilla Swirl Hot Latte with Skim Milk, Large",350,0,71,0,15,67,Dunkin Donuts
Hot Latte,"French Vanilla Swirl Hot Latte with Skim Milk, Medium",260,0,53,0,11,50,Dunkin Donuts
Hot Latte,"French Vanilla Swirl Hot Latte with Skim Milk, Small",170,0,35,0,7,33,Dunkin Donuts
Hot Latte,"French Vanilla Swirl Hot Latte with Whole Milk, Large",450,12,70,0,14,66,Dunkin Donuts
Hot Latte,"French Vanilla Swirl Hot Latte with Whole Milk, Medium",330,9,52,0,11,50,Dunkin Donuts
Hot Latte,"French Vanilla Swirl Hot Latte with Whole Milk, Small",220,6,35,0,7,33,Dunkin Donuts
Hot Latte,"Hazelnut Swirl Hot Latte with Skim Milk, Large",350,0,71,0,15,67,Dunkin Donuts
Hot Latte,"Hazelnut Swirl Hot Latte with Skim Milk, Medium",260,0,53,0,11,50,Dunkin Donuts
Hot Latte,"Hazelnut Swirl Hot Latte with Skim Milk, Small",170,0,35,0,7,33,Dunkin Donuts
Hot Latte,"Hazelnut Swirl Hot Latte with Whole Milk, Large",450,12,70,0,14,66,Dunkin Donuts
Hot Latte,"Hazelnut Swirl Hot Latte with Whole Milk, Medium",340,9,53,0,11,50,Dunkin Donuts
Hot Latte,"Hazelnut Swirl Hot Latte with Whole Milk, Small",220,6,35,0,7,33,Dunkin Donuts
Hot Latte,"Hot Latte with Almond Milk, Large",130,3.5,23,1,2,20,Dunkin Donuts
Hot Latte,"Hot Latte with Almond Milk, Medium",100,3,17,1,1,15,Dunkin Donuts
Hot Latte,"Hot Latte with Almond Milk, Small",70,2,11,0,1,10,Dunkin Donuts
Hot Latte,"Hot Latte with Skim Milk and Sugar, Large",270,0,54,0,12,53,Dunkin Donuts
Hot Latte,"Hot Latte with Skim Milk and Sugar, Medium",200,0,41,0,9,40,Dunkin Donuts
Hot Latte,"Hot Latte with Skim Milk and Sugar, Small",130,0,27,0,6,26,Dunkin Donuts
Hot Latte,"Hot Latte with Skim Milk, Large",130,0,20,0,12,18,Dunkin Donuts
Hot Latte,"Hot Latte with Skim Milk, Medium",100,0,15,0,9,14,Dunkin Donuts
Hot Latte,"Hot Latte with Skim Milk, Small",70,0,10,0,6,9,Dunkin Donuts
Hot Latte,"Hot Latte with Whole Milk and Sugar, Large",370,12,54,0,12,52,Dunkin Donuts
Hot Latte,"Hot Latte with Whole Milk and Sugar, Medium",270,9,40,0,9,39,Dunkin Donuts
Hot Latte,"Hot Latte with Whole Milk and Sugar, Small",180,6,27,0,6,26,Dunkin Donuts
Hot Latte,"Hot Latte with Whole Milk, Large",230,12,19,0,12,18,Dunkin Donuts
Hot Latte,"Hot Latte with Whole Milk, Medium",170,9,14,0,9,13,Dunkin Donuts
Hot Latte,"Hot Latte with Whole Milk, Small",120,6,9,0,6,9,Dunkin Donuts
Hot Latte,"Matcha Hot Latte with Skim Milk, Large",240,0,45,2,14,43,Dunkin Donuts
Hot Latte,"Matcha Hot Latte with Skim Milk, Medium",180,0,34,1,11,32,Dunkin Donuts
Hot Latte,"Matcha Hot Latte with Skim Milk, Small",120,0,23,1,7,22,Dunkin Donuts
Hot Latte,"Matcha Hot Latte with Whole Milk, Large",340,12,44,2,13,43,Dunkin Donuts
Hot Latte,"Matcha Hot Latte with Whole Milk, Medium",250,9,33,1,10,32,Dunkin Donuts
Hot Latte,"Matcha Hot Latte with Whole Milk, Small",170,6,22,1,7,21,Dunkin Donuts
Hot Latte,"Mocha Swirl Hot Latte with Skim Milk, Large",340,1,70,2,14,64,Dunkin Donuts
Hot Latte,"Mocha Swirl Hot Latte with Skim Milk, Medium",250,1,52,2,10,48,Dunkin Donuts
Hot Latte,"Mocha Swirl Hot Latte with Skim Milk, Small",170,0.5,35,1,7,32,Dunkin Donuts
Hot Latte,"Mocha Swirl Hot Latte with Whole Milk, Large",440,13,69,2,13,63,Dunkin Donuts
Hot Latte,"Mocha Swirl Hot Latte with Whole Milk, Medium",330,10,52,2,10,47,Dunkin Donuts
Hot Latte,"Mocha Swirl Hot Latte with Whole Milk, Small",220,6,35,1,7,32,Dunkin Donuts
Hot Macchiato,"Butter Pecan Swirl Hot Macchiato with Skim Milk, Large",310,0,64,0,12,60,Dunkin Donuts
Hot Macchiato,"Butter Pecan Swirl Hot Macchiato with Skim Milk, Medium",230,0,48,0,9,45,Dunkin Donuts
Hot Macchiato,"Butter Pecan Swirl Hot Macchiato with Skim Milk, Small",160,0,33,0,6,30,Dunkin Donuts
Hot Macchiato,"Butter Pecan Swirl Hot Macchiato with Whole Milk, Large",380,8,64,0,11,60,Dunkin Donuts
Hot Macchiato,"Butter Pecan Swirl Hot Macchiato with Whole Milk, Medium",280,6,48,0,8,45,Dunkin Donuts
Hot Macchiato,"Butter Pecan Swirl Hot Macchiato with Whole Milk, Small",190,4,32,0,6,30,Dunkin Donuts
Hot Macchiato,"Caramel Swirl Hot Macchiato with Skim Milk, Large",310,0,66,0,11,63,Dunkin Donuts
Hot Macchiato,"Caramel Swirl Hot Macchiato with Skim Milk, Medium",240,0,49,0,8,47,Dunkin Donuts
Hot Macchiato,"Caramel Swirl Hot Macchiato with Skim Milk, Small",160,0,33,0,6,32,Dunkin Donuts
Hot Macchiato,"Caramel Swirl Hot Macchiato with Whole Milk, Large",380,8,65,0,11,63,Dunkin Donuts
Hot Macchiato,"Caramel Swirl Hot Macchiato with Whole Milk, Medium",290,6,49,0,8,47,Dunkin Donuts
Hot Macchiato,"Caramel Swirl Hot Macchiato with Whole Milk, Small",190,4,33,0,5,31,Dunkin Donuts
Hot Macchiato,"French Vanilla Swirl Hot Macchiato with Skim Milk, Large",310,0,65,0,11,61,Dunkin Donuts
Hot Macchiato,"French Vanilla Swirl Hot Macchiato with Skim Milk, Medium",230,0,49,0,8,46,Dunkin Donuts
Hot Macchiato,"French Vanilla Swirl Hot Macchiato with Skim Milk, Small",160,0,33,0,5,30,Dunkin Donuts
Hot Macchiato,"French Vanilla Swirl Hot Macchiato with Whole Milk, Large",380,8,65,0,10,60,Dunkin Donuts
Hot Macchiato,"French Vanilla Swirl Hot Macchiato with Whole Milk, Medium",280,6,49,0,8,45,Dunkin Donuts
Hot Macchiato,"French Vanilla Swirl Hot Macchiato with Whole Milk, Small",190,4,33,0,5,30,Dunkin Donuts
Hot Macchiato,"Hazelnut Swirl Hot Macchiato with Macchiato with Skim Milk, Large",310,0,65,0,11,61,Dunkin Donuts
Hot Macchiato,"Hazelnut Swirl Hot Macchiato with Macchiato with Skim Milk, Medium",230,0,49,0,8,46,Dunkin Donuts
Hot Macchiato,"Hazelnut Swirl Hot Macchiato with Macchiato with Skim Milk, Small",160,0,33,0,5,30,Dunkin Donuts
Hot Macchiato,"Hazelnut Swirl Hot Macchiato with Whole Milk, Large",380,8,65,0,10,60,Dunkin Donuts
Hot Macchiato,"Hazelnut Swirl Hot Macchiato with Whole Milk, Medium",280,6,49,0,8,45,Dunkin Donuts
Hot Macchiato,"Hazelnut Swirl Hot Macchiato with Whole Milk, Small",190,4,33,0,5,30,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Skim Milk and Sugar, Large",230,0,49,0,8,47,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Skim Milk and Sugar, Medium",170,0,37,0,6,35,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Skim Milk and Sugar, Small",120,0,25,0,4,23,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Skim Milk, Large",90,0,14,0,8,12,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Skim Milk, Medium",70,0,11,0,6,9,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Skim Milk, Small",50,0,7,0,4,6,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Whole Milk and Sugar, Large",290,8,49,0,8,46,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Whole Milk and Sugar, Medium",220,6,37,0,6,35,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Whole Milk and Sugar, Small",150,4,25,0,4,23,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Whole Milk, Large",160,8,14,0,8,12,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Whole Milk, Medium",120,6,10,0,6,9,Dunkin Donuts
Hot Macchiato,"Hot Macchiato with Whole Milk, Small",80,4,7,0,4,6,Dunkin Donuts
Hot Macchiato,"Mocha Swirl Hot Macchiato with Skim Milk, Large",300,1,65,2,10,58,Dunkin Donuts
Hot Macchiato,"Mocha Swirl Hot Macchiato with Skim Milk, Medium",230,1,49,2,7,43,Dunkin Donuts
Hot Macchiato,"Mocha Swirl Hot Macchiato with Skim Milk, Small",150,0.5,33,1,5,29,Dunkin Donuts
Hot Macchiato,"Mocha Swirl Hot Macchiato with Whole Milk, Large",370,9,64,2,9,57,Dunkin Donuts
Hot Macchiato,"Mocha Swirl Hot Macchiato with Whole Milk, Medium",280,7,48,2,7,43,Dunkin Donuts
Hot Macchiato,"Mocha Swirl Hot Macchiato with Whole Milk, Small",180,4.5,32,1,5,29,Dunkin Donuts
Hot Macchiato,"Vanilla Chai/Vanilla Spice, Large",450,12,75,0,14,66,Dunkin Donuts
Hot Macchiato,"Vanilla Chai/Vanilla Spice, Medium",340,9,56,0,10,49,Dunkin Donuts
Hot Macchiato,"Vanilla Chai/Vanilla Spice, Small",230,6,37,0,7,33,Dunkin Donuts
Iced Americano,"Iced Americano, Large",10,0,2,0,0,0,Dunkin Donuts
Iced Americano,"Iced Americano, Medium",10,0,2,0,0,0,Dunkin Donuts
Iced Americano,"Iced Americano, Small",5,0,1,0,0,0,Dunkin Donuts
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Skim Milk, Large",310,0,64,0,11,60,Dunkin Donuts
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Skim Milk, Medium",230,0,48,0,9,45,Dunkin Donuts
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Skim Milk, Small",150,0,32,0,6,30,Dunkin Donuts
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Whole Milk, Large",370,8,63,0,11,60,Dunkin Donuts
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Whole Milk, Medium",280,6,47,0,8,45,Dunkin Donuts
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Whole Milk, Small",190,4,32,0,5,30,Dunkin Donuts
Iced Cappuccino,"Caramel Swirl Iced Cappuccino with Skim Milk, Large",310,0,65,0,11,63,Dunkin Donuts
Iced Cappuccino,"Caramel Swirl Iced Cappuccino with Skim Milk, Medium",230,0,49,0,8,47,Dunkin Donuts
Iced Cappuccino,"Caramel Swirl Iced Cappuccino with Skim Milk, Small",160,0,33,0,6,32,Dunkin Donuts
Iced Cappuccino,"Caramel Swirl Iced Cappuccino with Whole Milk, Large",380,8,65,0,11,63,Dunkin Donuts
Iced Cappuccino,"Caramel Swirl Iced Cappuccino with Whole Milk, Medium",280,6,48,0,8,47,Dunkin Donuts
Iced Cappuccino,"Caramel Swirl Iced Cappuccino with Whole Milk, Small",190,4,32,0,5,31,Dunkin Donuts
Iced Cappuccino,"French Vanilla Swirl Iced Cappuccino with Skim Milk, Large",310,0,65,0,11,61,Dunkin Donuts
Iced Cappuccino,"French Vanilla Swirl Iced Cappuccino with Skim Milk, Medium",230,0,48,0,8,46,Dunkin Donuts
Iced Cappuccino,"French Vanilla Swirl Iced Cappuccino with Skim Milk, Small",150,0,32,0,5,30,Dunkin Donuts
Iced Cappuccino,"French Vanilla Swirl Iced Cappuccino with Whole Milk, Large",370,8,64,0,10,60,Dunkin Donuts
Iced Cappuccino,"French Vanilla Swirl Iced Cappuccino with Whole Milk, Medium",280,6,48,0,8,45,Dunkin Donuts
Iced Cappuccino,"French Vanilla Swirl Iced Cappuccino with Whole Milk, Small",190,4,32,0,5,30,Dunkin Donuts
Iced Cappuccino,"Hazelnut Swirl Iced Cappuccino with Skim Milk, Large",310,0,65,0,11,61,Dunkin Donuts
Iced Cappuccino,"Hazelnut Swirl Iced Cappuccino with Skim Milk, Medium",230,0,49,0,8,46,Dunkin Donuts
Iced Cappuccino,"Hazelnut Swirl Iced Cappuccino with Skim Milk, Small",150,0,32,0,5,30,Dunkin Donuts
Iced Cappuccino,"Hazelnut Swirl Iced Cappuccino with Whole Milk, Large",370,8,64,0,10,60,Dunkin Donuts
Iced Cappuccino,"Hazelnut Swirl Iced Cappuccino with Whole Milk, Medium",280,6,48,0,8,45,Dunkin Donuts
Iced Cappuccino,"Hazelnut Swirl Iced Cappuccino with Whole Milk, Small",190,4,32,0,5,30,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Skim Milk and Sugar, Large",230,0,48,0,8,47,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Skim Milk and Sugar, Medium",170,0,36,0,6,35,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Skim Milk and Sugar, Small",110,0,24,0,4,23,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Skim Milk, Large",90,0,13,0,8,12,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Skim Milk, Medium",70,0,10,0,6,9,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Skim Milk, Small",45,0,7,0,4,6,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Whole Milk and Sugar, Large",290,8,48,0,8,46,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Whole Milk and Sugar, Medium",220,6,36,0,6,35,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Whole Milk and Sugar, Small",150,4,24,0,4,23,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Whole Milk, Large",160,8,13,0,8,12,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Whole Milk, Medium",120,6,10,0,6,9,Dunkin Donuts
Iced Cappuccino,"Iced Cappuccino with Whole Milk, Small",80,4,7,0,4,6,Dunkin Donuts
Iced Cappuccino,"Mocha Swirl Iced Cappuccino with Skim Milk, Large",300,1,64,2,10,58,Dunkin Donuts
Iced Cappuccino,"Mocha Swirl Iced Cappuccino with Skim Milk, Medium",220,1,48,2,7,43,Dunkin Donuts
Iced Cappuccino,"Mocha Swirl Iced Cappuccino with Skim Milk, Small",150,0.5,32,1,5,29,Dunkin Donuts
Iced Cappuccino,"Mocha Swirl Iced Cappuccino with Whole Milk, Large",360,9,63,2,9,57,Dunkin Donuts
Iced Cappuccino,"Mocha Swirl Iced Cappuccino with Whole Milk, Medium",270,7,48,2,7,43,Dunkin Donuts
Iced Cappuccino,"Mocha Swirl Iced Cappuccino with Whole Milk, Small",180,4.5,32,1,5,29,Dunkin Donuts
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Black, Large",220,0,50,0,4,48,Dunkin Donuts
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Black, Medium",170,0,38,0,3,36,Dunkin Donuts
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Black, Small",110,0,25,0,2,24,Dunkin Donuts
