category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size,milk_type
Donuts,Glazed Stick,460,30,14,0,20,390,43,1,21,4,491,food,not applicable,not applicable
Donuts,Glazed Strawberry Donut,280,10,4,0,0,280,44,1,23,4,303,food,not applicable,not applicable
Donuts,Guava Donut (Regional),240,10,4,0,0,280,32,1,12,4,252,food,not applicable,not applicable
Donuts,Indy Creme Donut (Regional),330,16,6,0,0,310,44,1,24,5,355,food,not applicable,not applicable
Donuts,Jelly Donut,250,10,4,0,0,290,36,1,13,4,263,food,not applicable,not applicable
Donuts,Jelly Stick,500,30,14,0,20,430,52,1,26,4,536,food,not applicable,not applicable
Donuts,Lemon Donut,230,10,4,0,0,310,31,1,10,4,240,food,not applicable,not applicable
Donuts,Lemon Stick,470,31,14,0,20,460,44,1,21,4,501,food,not applicable,not applicable
Donuts,Maple Creme Donut,290,14,5,0,0,290,38,1,18,4,309,food,not applicable,not applicable
Donuts,Maple Creme Stick,460,22,9,0,0,440,59,1,34,5,498,food,not applicable,not applicable
Donuts,Maple Frosted Donut,260,11,4.5,0,0,280,35,1,14,4,274.5,food,not applicable,not applicable
Donuts,Maple Long John Donut (Regional),320,15,6,0,0,400,42,1,18,5,339,food,not applicable,not applicable
Donuts,Maple Vanilla Creme Donut,330,15,6,0,0,300,45,1,25,4,357,food,not applicable,not applicable
Donuts,Marble Frosted Donut (Regional),270,11,4.5,0,0,290,37,1,17,4,287.5,food,not applicable,not applicable
Donuts,New Yorker Donut (Regional),330,16,6,0,0,310,44,1,24,5,355,food,not applicable,not applicable
Donuts,Old Fashioned Donut,310,19,9,0,20,320,30,1,10,4,325,food,not applicable,not applicable
Donuts,Peanut Donut,470,27,10,0,20,320,50,2,26,8,498,food,not applicable,not applicable
Donuts,Plain Stick,410,30,14,0,20,390,31,1,10,4,430,food,not applicable,not applicable
Donuts,Powdered Donut,330,20,9,0,20,320,34,1,14,4,349,food,not applicable,not applicable
Donuts,Powdered Stick,440,31,14,0,20,390,36,1,15,4,465,food,not applicable,not applicable
Donuts,Sour Cream Donut,360,17,7,0,10,360,49,1,25,4,388,food,not applicable,cream
Donuts,Strawberry Frosted Donut,260,11,4.5,0,0,280,35,1,14,4,274.5,food,not applicable,not applicable
Donuts,Strawberry Frosted with Sprinkles Donut,270,12,5,0,0,280,37,1,16,4,287,food,not applicable,not applicable
Donuts,Sugared Donut,210,11,4.5,0,0,270,24,1,5,4,215.5,food,not applicable,not applicable
Donuts,Sugared Stick,420,30,14,0,20,390,34,1,13,4,443,food,not applicable,not applicable
Donuts,Taillight Donut,320,15,6,0,0,310,41,1,21,4,343,food,not applicable,not applicable
Donuts,Toasted Coconut Donut,430,22,11,0,20,360,52,3,29,5,465,food,not applicable,not applicable
Donuts,Vanilla Creme Donut,300,15,6,0,0,290,37,1,18,4,320,food,not applicable,not applicable
Donuts,Vanilla Frosted Donut,260,11,4.5,0,0,280,35,1,14,4,274.5,food,not applicable,not applicable
Donuts,Vanilla Frosted with Sprinkles Donut,270,11,4.5,0,0,280,38,1,16,4,286.5,food,not applicable,not applicable
Donuts,Vanilla Headlight Donut,310,15,6,0,0,310,41,1,21,4,333,food,not applicable,not applicable
Donuts,Vanilla Long John,320,15,6,0,0,400,42,1,17,5,338,food,not applicable,not applicable
Donuts,"Caramel Swirl Frozen Chocolate, Large",900,17,12,0,40,380,176,1,165,11,1066,food,large,not applicable
Donuts,"Caramel Swirl Frozen Chocolate, Medium",700,14,10,0,35,290,135,1,126,9,827,food,medium,not applicable
Donuts,"Caramel Swirl Frozen Chocolate, Small",500,11,8,0,30,200,95,1,88,6,590,food,small,not applicable
Donuts,"French Vanilla Swirl Frozen Chocolate, Large",900,17,12,0,40,370,175,1,162,11,1063,food,large,not applicable
Donuts,"French Vanilla Swirl Frozen Chocolate, Medium",700,14,10,0,35,280,135,1,124,9,825,food,medium,not applicable
Donuts,"French Vanilla Swirl Frozen Chocolate, Small",500,11,8,0,30,190,95,1,87,6,589,food,small,not applicable
Donuts,"Frozen Chocolate, Large",890,18,13,0,35,330,175,4,158,10,1051,food,large,not applicable
Donuts,"Frozen Chocolate, Medium",690,15,10,0,30,250,134,3,121,7,814,food,medium,not applicable
Donuts,"Frozen Chocolate, Small",490,11,8,0,25,170,94,2,84,5,577,food,small,not applicable
Donuts,"Hazelnut Swirl Frozen Chocolate, Large",900,17,12,0,40,370,176,1,162,11,1063,food,large,not applicable
Donuts,"Hazelnut Swirl Frozen Chocolate, Medium",700,14,10,0,35,280,135,1,124,9,825,food,medium,not applicable
Donuts,"Hazelnut Swirl Frozen Chocolate, Small",500,11,8,0,30,190,95,1,87,6,589,food,small,not applicable
Donuts,All Caps Donut (Regional),280,11,4.5,0,0,290,40,1,20,4,300.5,food,not applicable,not applicable
Donuts,Celebration Donut,520,37,18,0,25,310,42,1,24,3,559,food,not applicable,not applicable
Donuts,Cherry Blossom Donut (Regional),270,11,4.5,0,0,280,38,1,16,4,286.5,food,not applicable,not applicable
Donuts,Chocolate Frosted with Chocolate Sprinkles Donut (Regional),270,12,5,0,0,290,36,1,15,5,285,food,not applicable,not applicable
Donuts,Flyers Donut (Regional),280,11,4.5,0,0,290,40,1,20,4,300.5,food,not applicable,not applicable
Donuts,Pittsburgh Creme Donut (Regional),350,16,7,0,0,310,47,1,26,5,378,food,not applicable,not applicable
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Large",1120,40,22,1.5,130,290,180,0,172,10,1304,drink,large,cream
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Medium",860,31,17,1,100,220,139,0,132,8,1001,drink,medium,cream
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Small",610,22,12,0.5,70,160,97,0,92,6,708,drink,small,cream
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Large",830,5,3.5,0,25,240,184,0,176,11,998.5,drink,large,skim
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Medium",650,4.5,3,0,25,180,142,0,135,9,779,drink,medium,skim
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Small",470,4.5,3,0,20,130,99,0,94,6,561,drink,small,skim
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Large",880,11,7,0,40,240,184,0,175,11,1051,drink,large,whole
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Medium",680,9,6,0,35,180,141,0,134,8,812,drink,medium,whole
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Small",490,8,4.5,0,30,130,99,0,94,6,582.5,drink,small,whole
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Large",1110,40,22,1.5,130,280,180,0,169,10,1291,drink,large,cream
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Medium",860,31,17,1,100,220,138,0,130,8,999,drink,medium,cream
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Small",610,22,12,0.5,70,150,97,0,91,6,707,drink,small,cream
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Large",830,5,3.5,0,25,230,184,0,173,11,995.5,drink,large,skim
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Medium",640,4.5,3,0,20,180,141,0,133,9,767,drink,medium,skim
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Small",460,4.5,3,0,20,125,99,0,93,6,550,drink,small,skim
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Large",880,11,7,0,40,230,183,0,173,11,1049,drink,large,whole
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Medium",680,9,6,0,35,180,141,0,132,8,810,drink,medium,whole
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Small",490,8,4.5,0,30,125,99,0,92,6,580.5,drink,small,whole
Frozen Coffee,"Frozen Coffee with Cream, Large",780,35,18,1,105,200,113,0,108,7,899,drink,large,cream
Frozen Coffee,"Frozen Coffee with Cream, Medium",590,26,14,1,80,150,85,0,81,5,680,drink,medium,cream
Frozen Coffee,"Frozen Coffee with Cream, Small",390,17,9,0.5,55,100,57,0,54,3,450,drink,small,cream
Frozen Coffee,"Frozen Coffee with Skim Milk, Large",500,0,0,0,NA,150,117,0,112,8,604,drink,large,skim
Frozen Coffee,"Frozen Coffee with Skim Milk, Medium",370,0,0,0,NA,115,88,0,84,6,448,drink,medium,skim
Frozen Coffee,"Frozen Coffee with Skim Milk, Small",250,0,0,0,0,75,59,0,56,4,302,drink,small,skim
Frozen Coffee,"Frozen Coffee with Whole Milk, Large",550,6,3.5,0,20,150,117,0,111,7,657.5,drink,large,whole
Frozen Coffee,"Frozen Coffee with Whole Milk, Medium",410,4.5,2.5,0,15,115,88,0,84,5,491.5,drink,medium,whole
Frozen Coffee,"Frozen Dunkaccino, Large",930,22,15,0,40,350,177,3,159,10,1094,drink,large,not applicable
Frozen Coffee,"Frozen Dunkaccino, Medium",710,17,12,0,35,260,134,3,119,8,833,drink,medium,not applicable
Frozen Coffee,"Frozen Dunkaccino, Small",510,13,9,0,25,180,94,2,83,5,597,drink,small,not applicable
