category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size
Hot Americano,"Americano, Small",5,0,0,0,0,15,1,0,0,0,5,drink,small
Hot Cappuccino,"Cappuccino with Skim Milk, Large",90,0,0,0,NA,115,13,0,12,8,94,drink,large
Hot Cappuccino,"Cappuccino with Skim Milk, Medium",70,0,0,0,NA,85,10,0,9,6,73,drink,medium
Hot Cappuccino,"Cappuccino with Skim Milk, Small",45,0,0,0,0,55,7,0,6,4,47,drink,small
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Large",230,0,0,0,NA,115,48,0,47,8,269,drink,large
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Medium",170,0,0,0,NA,85,36,0,35,6,199,drink,medium
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Small",110,0,0,0,0,55,24,0,23,4,129,drink,small
Hot Cappuccino,"Cappuccino with Whole Milk, Large",160,8,4.5,0,25,115,13,0,12,8,168.5,drink,large
Hot Cappuccino,"Cappuccino with Whole Milk, Medium",120,6,3.5,0,20,85,10,0,9,6,126.5,drink,medium
Hot Cappuccino,"Cappuccino with Whole Milk, Small",80,4,2.5,0,10,60,7,0,6,4,84.5,drink,small
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Large",290,8,4.5,0,25,115,48,0,46,8,332.5,drink,large
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Medium",220,6,3.5,0,20,85,36,0,35,6,252.5,drink,medium
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Small",150,4,2.5,0,10,60,24,0,23,4,171.5,drink,small
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,180,65,0,63,11,362,drink,large
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,135,49,0,47,8,269,drink,medium
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Small",160,0,0,0,NA,90,33,0,32,6,186,drink,small
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Large",380,8,4.5,0,30,180,65,0,63,11,436.5,drink,large
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,135,48,0,47,8,322.5,drink,medium
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,90,32,0,31,5,218.5,drink,small
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,170,65,0,61,11,360,drink,large
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,130,48,0,46,8,268,drink,medium
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,NA,85,32,0,30,5,175,drink,small
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,30,170,64,0,60,10,424.5,drink,large
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,130,48,0,45,8,320.5,drink,medium
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,85,32,0,30,5,217.5,drink,small
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,170,65,0,61,11,360,drink,large
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,130,49,0,46,8,268,drink,medium
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,NA,85,32,0,30,5,175,drink,small
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,30,170,64,0,60,10,424.5,drink,large
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,130,48,0,45,8,320.5,drink,medium
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,85,32,0,30,5,217.5,drink,small
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Large",300,1,0.5,0,NA,140,64,2,58,10,348.5,drink,large
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Medium",220,1,0.5,0,NA,105,48,2,43,7,256.5,drink,medium
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Small",150,0.5,0,0,0,70,32,1,29,5,174,drink,small
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Large",360,9,5,0,25,140,63,2,57,9,413,drink,large
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Medium",270,7,4,0,20,110,48,2,43,7,310,drink,medium
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Small",180,4.5,2.5,0,10,70,32,1,29,5,206.5,drink,small
Hot Cappuccino,Limited Time Products Hot Cappuccino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drink,not applicable
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,NA,370,64,0,60,11,359,drink,large
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,280,48,0,45,9,266,drink,medium
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,NA,190,32,0,30,6,174,drink,small
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,25,370,63,0,60,11,423.5,drink,large
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,280,47,0,45,8,320.5,drink,medium
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,190,32,0,30,5,217.5,drink,small
Hot Chocolate,"Box of Joe, Hot Chocolate",220,7,6,0,0,210,40,2,32,2,256,drink,not applicable
Hot Chocolate,"Dunkaccino, Extra Large",540,23,19,0,10,510,80,1,58,4,613,drink,large
Hot Chocolate,"Dunkaccino, Large",490,21,17,0,10,470,73,1,53,4,556,drink,large
Hot Chocolate,"Dunkaccino, Medium",350,15,12,0,NA,340,52,1,38,3,397,drink,medium
Hot Chocolate,"Dunkaccino, Small",240,10,8,0,NA,230,36,0,26,2,272,drink,small
Hot Chocolate,"French Vanilla Dunkaccino, Extra Large",570,26,21,0,10,570,86,1,62,4,649,drink,large
Hot Chocolate,"French Vanilla Dunkaccino, Large",470,21,17,0,10,460,70,1,50,3,534,drink,large
Hot Chocolate,"French Vanilla Dunkaccino, Medium",350,16,13,0,NA,350,53,1,38,2,399,drink,medium
Hot Chocolate,"French Vanilla Dunkaccino, Small",230,10,8,0,NA,230,35,0,25,2,261,drink,small
Hot Chocolate,"Hot Chocolate with Espresso Shot, Large",400,12,11,0,0,390,71,3,55,3,463,drink,large
Hot Chocolate,"Hot Chocolate with Espresso Shot, Medium",280,9,8,0,0,280,51,2,39,2,325,drink,medium
Hot Chocolate,"Hot Chocolate with Espresso Shot, Small",190,6,5,0,0,190,35,1,27,2,220,drink,small
Hot Chocolate,"Mint Hot Chocolate, Extra Large",490,16,14,0,0,430,87,3,70,3,571,drink,large
Hot Chocolate,"Mint Hot Chocolate, Large",400,13,12,0,0,350,72,3,57,3,466,drink,large
Hot Chocolate,"Mint Hot Chocolate, Medium",300,10,9,0,0,260,52,2,42,2,349,drink,medium
Hot Chocolate,"Mint Hot Chocolate, Small",210,7,6,0,0,180,36,1,29,1,244,drink,small
Hot Chocolate,"OREO Hot Chocolate, Extra Large",580,13,10,0,0,630,110,4,88,7,671,drink,large
Hot Chocolate,"OREO Hot Chocolate, Large",460,10,8,0,0,500,88,3,70,6,532,drink,large
Hot Chocolate,"OREO Hot Chocolate, Medium",350,8,6,0,0,380,66,2,53,4,405,drink,medium
Hot Chocolate,"OREO Hot Chocolate, Small",230,5,4,0,0,250,44,1,35,3,266,drink,small
Hot Chocolate,"Original Hot Chocolate, Extra Large",500,15,14,0,0,480,89,3,71,4,581,drink,large
Hot Chocolate,"Original Hot Chocolate, Large",460,14,13,0,0,440,82,3,65,4,534,drink,large
Hot Chocolate,"Original Hot Chocolate, Medium",330,10,9,0,0,320,59,2,46,3,382,drink,medium
Hot Chocolate,"Original Hot Chocolate, Small",220,7,6,0,0,210,40,2,32,2,256,drink,small
Hot Chocolate,"Salted Caramel Hot Chocolate, Extra Large",510,17,15,0,0,750,87,2,69,5,589,drink,large
Hot Chocolate,"Salted Caramel Hot Chocolate, Large",420,14,13,0,0,620,71,2,57,4,486,drink,large
Hot Chocolate,"Salted Caramel Hot Chocolate, Medium",310,10,9,0,0,450,52,1,42,3,358,drink,medium
Hot Chocolate,"Salted Caramel Hot Chocolate, Small",210,7,6,0,0,320,36,1,29,2,243,drink,small
Hot Coffee,Box of Joe,5,0,0,0,0,5,0,0,0,0,5,drink,not applicable
Hot Coffee,"Cafe Au Lait with Skim Milk, Large",90,0,0,0,NA,110,12,0,12,9,93,drink,large
Hot Coffee,"Cafe Au Lait with Skim Milk, Medium",70,0,0,0,NA,80,9,0,9,7,72,drink,medium
Hot Coffee,"Cafe Au Lait with Skim Milk, Small",45,0,0,0,0,55,6,0,6,4,47,drink,small
Hot Coffee,"Cafe Au Lait with Whole Milk, Large",150,8,4.5,0,25,110,12,0,12,8,158.5,drink,large
Hot Coffee,"Cafe Au Lait with Whole Milk, Medium",110,6,3.5,0,20,85,9,0,9,6,116.5,drink,medium
Hot Coffee,"Cafe Au Lait with Whole Milk, Small",80,4,2.5,0,10,55,6,0,6,4,84.5,drink,small
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Extra Large",280,0,0,0,NA,95,64,0,64,4,340,drink,large
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Large",230,0,0,0,NA,75,52,0,51,3,278,drink,large
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Medium",170,0,0,0,NA,60,39,0,38,3,205,drink,medium
Hot Coffee,"Caramel Swirl Hot Coffee with Black, Small",110,0,0,0,0,40,26,0,26,2,134,drink,small
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Extra Large",420,15,8,0,50,150,67,0,66,6,488,drink,large
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Large",340,12,6,0,40,120,53,0,53,5,394,drink,large
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Medium",260,9,4.5,0,30,90,40,0,40,4,300.5,drink,medium
Hot Coffee,"Caramel Swirl Hot Coffee with Cream, Small",170,6,3,0,20,60,27,0,26,3,196,drink,small
Hot Coffee,"French Vanilla Swirl Hot Coffee, Large",220,0,0,0,NA,70,51,0,49,3,266,drink,large
Hot Coffee,"French Vanilla Swirl Hot Coffee, Medium",170,0,0,0,NA,50,38,0,37,2,205,drink,medium
Hot Coffee,"French Vanilla Swirl Hot Coffee, Small",110,0,0,0,0,35,26,0,24,2,132,drink,small
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Extra Large",420,15,8,0,50,135,66,0,63,6,485,drink,large
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Large",340,12,6,0,40,110,53,0,50,5,391,drink,large
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Medium",250,9,4.5,0,30,85,40,0,38,4,288.5,drink,medium
Hot Coffee,"French Vanilla Swirl Hot Coffee with Cream, Small",170,6,3,0,20,55,26,0,25,2,196,drink,small
Hot Coffee,"Hazelnut Swirl Hot Coffee, Extra Large",280,0,0,0,NA,85,64,0,61,4,337,drink,large
Hot Coffee,"Hazelnut Swirl Hot Coffee, Large",220,0,0,0,NA,70,51,0,49,3,266,drink,large
Hot Coffee,"Hazelnut Swirl Hot Coffee, Medium",170,0,0,0,NA,50,38,0,37,2,205,drink,medium
Hot Coffee,"Hazelnut Swirl Hot Coffee, Small",110,0,0,0,0,35,26,0,24,2,132,drink,small
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Extra Large",420,15,8,0,50,135,66,0,63,6,485,drink,large
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Large",340,12,6,0,40,110,53,0,50,5,391,drink,large
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Medium",250,9,4.5,0,30,85,40,0,38,4,288.5,drink,medium
Hot Coffee,"Hazelnut Swirl Hot Coffee with Cream, Small",170,6,3,0,20,55,27,0,25,2,196,drink,small
Hot Coffee,"Hot Coffee, Extra Large",5,0,0,0,0,15,0,0,0,1,4,drink,large
Hot Coffee,"Hot Coffee, Large",5,0,0,0,0,10,0,0,0,1,4,drink,large
Hot Coffee,"Hot Coffee, Medium",5,0,0,0,0,10,0,0,0,1,4,drink,medium
Hot Coffee,"Hot Coffee, Small",5,0,0,0,0,5,0,0,0,0,5,drink,small
Hot Coffee,"Hot Coffee with Almond Milk, Extra Large",45,1.5,0,0,0,85,7,0,7,1,51,drink,large
Hot Coffee,"Hot Coffee with Almond Milk, Large",35,1,0,0,0,65,5,0,5,1,39,drink,large
Hot Coffee,"Hot Coffee with Almond Milk, Medium",25,0.5,0,0,0,45,4,0,3,1,27,drink,medium
Hot Coffee,"Hot Coffee with Almond Milk, Small",15,0,0,0,0,25,2,0,2,0,17,drink,small
Hot Coffee,"Hot Coffee with Cream, Extra Large",150,15,8,0,45,65,2,0,2,3,157,drink,large
Hot Coffee,"Hot Coffee with Cream, Large",120,12,6,0,35,55,2,0,2,2,126,drink,large
Hot Coffee,"Hot Coffee with Cream, Medium",90,9,4.5,0,25,40,1,0,1,2,93.5,drink,medium
Hot Coffee,"Hot Coffee with Cream, Small",60,6,3,0,20,30,1,0,1,1,63,drink,small
Hot Coffee,"Hot Coffee with Cream and Sugar, Extra Large",320,15,8,0,45,65,46,0,46,3,371,drink,large
Hot Coffee,"Hot Coffee with Cream and Sugar, Large",250,12,6,0,35,55,37,0,36,2,290,drink,large
Hot Coffee,"Hot Coffee with Cream and Sugar, Medium",190,9,4.5,0,25,40,27,0,27,2,219.5,drink,medium
Hot Coffee,"Hot Coffee with Cream and Sugar, Small",130,6,3,0,20,30,18,0,18,1,150,drink,small
Hot Coffee,"Hot Coffee with Skim Milk, Extra Large",30,0,0,0,0,45,4,0,4,3,31,drink,large
Hot Coffee,"Hot Coffee with Skim Milk, Large",25,0,0,0,0,35,3,0,3,3,25,drink,large
Hot Coffee,"Hot Coffee with Skim Milk, Medium",20,0,0,0,0,25,2,0,2,2,20,drink,medium
Hot Coffee,"Hot Coffee with Skim Milk, Small",15,0,0,0,0,20,2,0,2,1,16,drink,small
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Extra Large",200,0,0,0,0,45,47,0,47,3,244,drink,large
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Large",160,0,0,0,0,35,38,0,38,3,195,drink,large
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Medium",120,0,0,0,0,25,28,0,28,2,146,drink,medium
Hot Coffee,"Hot Coffee with Skim Milk and Sugar, Small",80,0,0,0,0,20,19,0,19,1,98,drink,small
Hot Coffee,"Hot Coffee with Sugar, Extra Large",170,0,0,0,0,15,44,0,43,1,212,drink,large
Hot Coffee,"Hot Coffee with Sugar, Large",140,0,0,0,0,10,35,0,35,1,174,drink,large
Hot Coffee,"Hot Coffee with Sugar, Medium",110,0,0,0,0,10,26,0,26,1,135,drink,medium
Hot Coffee,"Hot Coffee with Sugar, Small",70,0,0,0,0,5,17,0,17,0,87,drink,small
Hot Coffee,"Hot Coffee with Whole Milk, Extra Large",50,2.5,1.5,0,10,45,4,0,4,3,52.5,drink,large
Hot Coffee,"Hot Coffee with Whole Milk, Large",40,2,1,0,NA,35,3,0,3,2,42,drink,large
Hot Coffee,"Hot Coffee with Whole Milk, Medium",30,1.5,1,0,NA,25,2,0,2,2,31,drink,medium
Hot Coffee,"Hot Coffee with Whole Milk, Small",20,1,0.5,0,NA,20,1,0,1,1,20.5,drink,small
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Extra Large",220,2.5,1.5,0,10,45,47,0,47,3,265.5,drink,large
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Large",190,2,1,0,NA,35,42,0,42,2,231,drink,large
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Medium",130,1.5,1,0,NA,30,28,0,28,2,157,drink,medium
Hot Coffee,"Hot Coffee with Whole Milk and Sugar, Small",90,1,0.5,0,NA,20,19,0,19,1,108.5,drink,small
Hot Coffee,"Mocha Swirl Hot Coffee, Extra Large",260,1,0.5,0,0,45,63,3,57,3,314.5,drink,large
Hot Coffee,"Mocha Swirl Hot Coffee, Large",210,1,0,0,0,40,50,2,46,2,254,drink,large
Hot Coffee,"Mocha Swirl Hot Coffee, Medium",160,0.5,0,0,0,30,38,2,34,2,192,drink,medium
Hot Coffee,"Mocha Swirl Hot Coffee, Small",110,0,0,0,0,20,25,1,23,1,132,drink,small
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Extra Large",410,15,8,0,45,100,65,3,59,5,472,drink,large
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Large",330,12,7,0,35,80,52,2,47,4,380,drink,large
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Medium",240,9,5,0,25,60,39,2,35,3,277,drink,medium
Hot Coffee,"Mocha Swirl Hot Coffee with Cream, Small",160,6,3.5,0,20,40,26,1,24,2,185.5,drink,small
Hot Coffee,"Cafe con Leche, Large",340,12,7,0,35,170,47,0,46,12,381,drink,large
Hot Coffee,"Cafe con Leche, Medium",250,9,5,0,25,125,35,0,34,9,280,drink,medium
Hot Coffee,"Cafe con Leche, Small",170,6,3.5,0,20,85,23,0,23,6,190.5,drink,small
Hot Coffee,Cortadito,80,1,0.5,0,NA,20,16,0,16,1,95.5,drink,not applicable
Hot Coffee,Espresso with Sugar,60,0,0,0,0,5,15,0,14,0,74,drink,not applicable
Hot Coffee,Hot Espresso,5,0,0,0,0,5,1,0,0,0,5,drink,not applicable
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Extra Large",270,0,0,0,0,330,63,0,60,5,325,drink,large
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Large",220,0,0,0,0,270,50,0,48,4,264,drink,large
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Medium",170,0,0,0,0,200,38,0,36,3,203,drink,medium
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Black, Small",110,0,0,0,0,135,25,0,24,2,132,drink,small
Hot Coffee,"Butter Pecan Swirl Hot Coffee with Cream, Extra Large",420,15,8,0,45,390,65,0,62,7,483,drink,large
