category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size
Donuts,Vanilla Headlight Donut,310,15,6,0,0,310,41,1,21,4,333,food,not applicable
Donuts,Vanilla Long John,320,15,6,0,0,400,42,1,17,5,338,food,not applicable
Donuts,"Caramel Swirl Frozen Chocolate, Large",900,17,12,0,40,380,176,1,165,11,1066,food,large
Donuts,"Caramel Swirl Frozen Chocolate, Medium",700,14,10,0,35,290,135,1,126,9,827,food,medium
Donuts,"Caramel Swirl Frozen Chocolate, Small",500,11,8,0,30,200,95,1,88,6,590,food,small
Donuts,"French Vanilla Swirl Frozen Chocolate, Large",900,17,12,0,40,370,175,1,162,11,1063,food,large
Donuts,"French Vanilla Swirl Frozen Chocolate, Medium",700,14,10,0,35,280,135,1,124,9,825,food,medium
Donuts,"French Vanilla Swirl Frozen Chocolate, Small",500,11,8,0,30,190,95,1,87,6,589,food,small
Donuts,"Frozen Chocolate, Large",890,18,13,0,35,330,175,4,158,10,1051,food,large
Donuts,"Frozen Chocolate, Medium",690,15,10,0,30,250,134,3,121,7,814,food,medium
Donuts,"Frozen Chocolate, Small",490,11,8,0,25,170,94,2,84,5,577,food,small
Donuts,"Hazelnut Swirl Frozen Chocolate, Large",900,17,12,0,40,370,176,1,162,11,1063,food,large
Donuts,"Hazelnut Swirl Frozen Chocolate, Medium",700,14,10,0,35,280,135,1,124,9,825,food,medium
Donuts,"Hazelnut Swirl Frozen Chocolate, Small",500,11,8,0,30,190,95,1,87,6,589,food,small
Donuts,All Caps Donut (Regional),280,11,4.5,0,0,290,40,1,20,4,300.5,food,not applicable
Donuts,Celebration Donut,520,37,18,0,25,310,42,1,24,3,559,food,not applicable
Donuts,Cherry Blossom Donut (Regional),270,11,4.5,0,0,280,38,1,16,4,286.5,food,not applicable
Donuts,Chocolate Frosted with Chocolate Sprinkles Donut (Regional),270,12,5,0,0,290,36,1,15,5,285,food,not applicable
Donuts,Flyers Donut (Regional),280,11,4.5,0,0,290,40,1,20,4,300.5,food,not applicable
Donuts,Pittsburgh Creme Donut (Regional),350,16,7,0,0,310,47,1,26,5,378,food,not applicable
Kolache,Kolache (Regional),390,23,7,0,60,1020,31,1,7,15,389,food,not applicable
Kolache,Kosher Beyond Sausage Sandwich,510,26,10,0,185,810,39,2,3,27,496,food,not applicable
Kolache,Kosher Beyond Sausage Wake-Up Wrap,280,17,8,0,105,500,15,1,1,15,274,food,not applicable
Kolache,Kosher Big n Toasted,610,37,10,0,340,1260,44,0,3,24,599,food,not applicable
